# cmaal German messages: English<TAB>Deutsch, one per line.
# Missing lines stay English. Keep %s placeholders in the same order.
warn	Warnung
error	Fehler
ok	ok
on	an
off	aus
none	keiner
connected	verbunden
password	Passwort
votes	Stimmen
popularity	Beliebtheit
maintainer	Betreuer
PLUGINS	PLUGINS
(plugin)	(Plugin)
[Y/n]	[J/n]
[y/N]	[j/N]
AUR check	AUR-Prüfung
AUR health	Zustand der AUR-Pakete
AUR updates with a changed PKGBUILD	AUR-Updates mit geändertem PKGBUILD
Action	Aktion
Address (user@host[:port])	Adresse (user@host[:port])
Alerts are off. Turn them on with: cmaal alerts on	Benachrichtigungen sind aus. Einschalten mit: cmaal alerts on
Alias (short name)	Name (kurz)
Also install Heroic Games Launcher (Epic, GOG, Amazon, AUR)?	Auch den Heroic Games Launcher installieren (Epic, GOG, Amazon, AUR)?
Also install Lutris (Epic, GOG, emulators)?	Auch Lutris installieren (Epic, GOG, Emulatoren)?
Also install ProtonUp-Qt (install GE-Proton versions, AUR)?	Auch ProtonUp-Qt installieren (GE-Proton-Versionen, AUR)?
An outdated keyring causes most 'invalid or corrupted package (PGP signature)' errors	Ein veralteter Schlüsselbund verursacht die meisten Fehler 'invalid or corrupted package (PGP signature)'
Arch Linux news	Arch-Linux-News
Back up now with: cmaal backup	Jetzt sichern mit: cmaal backup
Backing up	Sichern
Change how often with ALERTS_EVERY in cmaal config (e.g. 2h, 1d)	Wie oft, stellst du mit ALERTS_EVERY in cmaal config ein (z. B. 2h, 1d)
Changes are normal for new versions. Look for new download URLs or odd commands.	Änderungen sind bei neuen Versionen normal. Achte auf neue Download-Adressen oder seltsame Befehle.
Check drivers any time with: cmaal drivers	Treiber jederzeit prüfen mit: cmaal drivers
Checking the Arch Linux Archive...	Arch Linux Archive wird durchsucht...
Checking	Prüfe
Continue with the upgrade?	Mit dem Update weitermachen?
Database lock	Datenbank-Sperre
Delete it?	Löschen?
Details for one package: cmaal review <name>	Details zu einem Paket: cmaal review <name>
Download it now (pacman -Fy)?	Jetzt herunterladen (pacman -Fy)?
Errors from the previous boot	Fehler vom letzten Start
Errors since boot	Fehler seit dem Start
Files that exist now are kept as <name>.cmaal-old	Vorhandene Dateien bleiben als <name>.cmaal-old erhalten
Filesystems	Dateisysteme
Find your system	Dein System finden
Forget	Vergessen
Gaming setup	Gaming einrichten
Go?	Los?
Hardware and drivers	Hardware und Treiber
